Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Home,Offense,UNY,Turnover,N/A,Transition,None,Ball Handler,None,None,None
Home,Defense,UNY,2pmi,To Basket,PNR,High,Off,Spot Ups,Right,Drive
Home,Offense,UNY,2pmi,To Basket,Transition,None,Left Wing,None,None,None
Home,Defense,UNY,2pmi,Dribble Jumper,PNR,Left,Away,None,None,None
Home,Offense,UNY,2pmi,To Basket,Transition,None,Left Wing,None,None,None
Home,Defense,UNY,3pMa,Dribble Jumper,Transition,None,Left Wing,None,None,None
Home,Offense,UNY,Foul,To Basket,PNR,Left,Away,Spot Ups,Right,Drive
Home,Defense,UNY,Turnover,N/A,Misc,None,None,None,None,None
Home,Offense,UNY,2pMa,Dribble Jumper,Transition,None,Left Wing,None,None,None
Home,Defense,UNY,Turnover,N/A,Misc,None,None,None,None,None
Home,Offense,UNY,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Home,Defense,UNY,3pmi,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Home,Offense,UNY,2pmi,No Dribble Jumper,Transition,None,First Middle,None,None,None
Home,Defense,UNY,2pmi,To Basket,Spot Ups,Left,Drive,None,None,None
Home,Offense,UNY,3pmi,Dribble Jumper,PNR,Left,Off,None,None,None
Home,Offense,UNY,2pMa,Dribble Jumper,Spot Ups,Right,Drive,None,None,None
Home,Defense,UNY,3pmi,No Dribble Jumper,PNR,Left,None,Spot Ups,None,Shot
Home,Offense,UNY,2pMa,To Basket,Transition,None,Ball Handler,None,None,None
Home,Defense,UNY,2pMa,Dribble Jumper,Spot Ups,Right,Drive,None,None,None
Home,Offense,UNY,2pmi,Drop Step,Post,Left,Dribble Move,None,None,None
Home,Defense,UNY,3pMa,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Home,Offense,UNY,2pMa,To Basket,Transition,None,First Middle,None,None,None
Home,Defense,UNY,3pmi,No Dribble Jumper,PNR,High,Off,P&R Roll Man,None,Pop
Home,Offense,UNY,And1,To Basket,Transition,None,Trailer,None,None,None
Home,Defense,UNY,3pmi,No Dribble Jumper,Hand Offs,Left,Dribble,None,None,None
Home,Offense,UNY,2pMa,Dribble Jumper,Spot Ups,Right,Drive,None,None,None
Home,Defense,UNY,2pmi,To Basket,Spot Ups,Right,Drive,None,None,None
Home,Offense,UNY,2pmi,To Basket,Transition,None,Left Wing,None,None,None
Home,Defense,UNY,3pMa,No Dribble Jumper,Transition,None,Trailer,None,None,None
Home,Offense,UNY,2pMa,To Basket,Cuts,None,Basket,None,None,None
Home,Defense,UNY,2pMa,Drop Step,Post,Right,Dribble Move,None,None,None
Home,Offense,UNY,2pmi,To Basket,Hand Offs,Right,Dribble,None,None,None
Home,Defense,UNY,Turnover,N/A,Transition,None,Ball Handler,None,None,None
Home,Offense,UNY,Turnover,N/A,Transition,None,Ball Handler,None,None,None
Home,Defense,UNY,Turnover,N/A,PNR,Right,Off,None,None,None
Home,Offense,UNY,2pmi,Drop Step,Post,Middle,Dribble Move,None,None,None
Home,Defense,UNY,2pMa,To Basket,PNR,High,Off,None,None,None
Home,Offense,UNY,2pmi,Dribble Jumper,Spot Ups,Right,Drive,None,None,None
Home,Offense,UNY,3pmi,No Dribble Jumper,PNR,High,Off,P&R Roll Man,None,Pop
Home,Defense,UNY,2pmi,To Basket,Transition,None,Right Wing,None,None,None
Home,Offense,UNY,3pmi,No Dribble Jumper,Off Screens,Left,Straight,None,None,None
Home,Defense,UNY,2pMa,To Basket,PNR,High,Off,P&R Roll Man,None,Roll
Home,Defense,UNY,2pMa,To Basket,Iso,Right,None,Spot Ups,Right,Drive
Home,Offense,UNY,2pmi,To Basket,Post,Left,Dribble Move,None,None,None
Home,Defense,UNY,2pMa,To Basket,Spot Ups,Left,Drive,None,None,None
Home,Offense,UNY,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Home,Offense,UNY,2pmi,To Basket,PNR,High,Off,None,None,None
Home,Defense,UNY,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,UNY,Turnover,N/A,Hand Offs,Right,Dribble,None,None,None
Home,Defense,UNY,2pMa,N/A,Post,Left,Dribble Move,None,None,None
Home,Offense,UNY,2pmi,Dribble Jumper,Iso,Top,None,None,None,None
Home,Defense,UNY,2pMa,Dribble Jumper,Transition,None,Ball Handler,None,None,None
Home,Offense,UNY,Turnover,To Basket,Spot Ups,Left,Drive,None,None,None
Home,Defense,UNY,2pmi,N/A,Post,Middle,Dribble Move,None,None,None
Home,Offense,UNY,3pMa,Dribble Jumper,PNR,High,Off,None,None,None
Home,Defense,UNY,2pmi,To Basket,Cuts,None,Flash,None,None,None
Home,Offense,UNY,Turnover,N/A,Post,Left,Dribble Move,None,None,None
Home,Defense,UNY,2pmi,N/A,Post,Left,Dribble Move,None,None,None
Home,Offense,UNY,2pmi,Dribble Jumper,Hand Offs,Left,Dribble,None,None,None
Home,Defense,UNY,3pmi,Dribble Jumper,Transition,None,Right Wing,None,None,None
Home,Offense,UNY,3pMa,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Home,Defense,UNY,2pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Home,Offense,UNY,2pmi,To Basket,Spot Ups,Right,Drive,None,None,None
Home,Defense,UNY,Foul,To Basket,Hand Offs,Top,Dribble,None,None,None
Home,Offense,UNY,2pmi,To Basket,PNR,High,Off,None,None,None
Home,Defense,UNY,2pMa,Dribble Jumper,PNR,High,Off,Spot Ups,Right,Drive
Home,Offense,UNY,3pmi,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Home,Defense,UNY,2pMa,To Basket,Spot Ups,Left,Drive,None,None,None
Home,Offense,UNY,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,UNY,2pMa,To Basket,Transition,None,Left Wing,None,None,None
Home,Offense,UNY,2pMa,No Dribble Jumper,Off Screens,Left,Straight,None,None,None
Home,Defense,UNY,2pmi,To Basket,Transition,None,Ball Handler,None,None,None
Home,Defense,UNY,Turnover,N/A,Iso,Left,None,None,None,None
Home,Offense,UNY,Foul,To Basket,Transition,None,Ball Handler,None,None,None
Home,Defense,UNY,2pmi,Dribble Jumper,Transition,None,Ball Handler,None,None,None
Home,Offense,UNY,3pmi,No Dribble Jumper,PNR,High,Away,Spot Ups,None,Shot
Home,Defense,UNY,3pMa,No Dribble Jumper,PNR,High,Off,Spot Ups,None,Shot
Home,Offense,UNY,Foul,To Basket,PNR,Left,Off,P&R Roll Man,Right,Pop
Home,Defense,UNY,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Offense,UNY,3pmi,No Dribble Jumper,Transition,None,Right Wing,None,None,None
Home,Defense,UNY,3pmi,Dribble Jumper,PNR,High,Off,Spot Ups,Left,Drive
Home,Offense,UNY,Foul,To Basket,Transition,None,Ball Handler,None,None,None
Home,Defense,UNY,Turnover,N/A,PNR,Left,Off,Spot Ups,Left,Drive
Home,Offense,UNY,2pMa,To Basket,Transition,None,Right Wing,None,None,None
Home,Defense,UNY,3pmi,No Dribble Jumper,PNR,Left,Off,Spot Ups,None,Shot
Home,Offense,UNY,And1,To Basket,Post,Right,Dribble Move,None,None,None
Home,Defense,UNY,2pmi,To Basket,Iso,Right,None,None,None,None
Home,Offense,UNY,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,UNY,2pMa,Dribble Jumper,PNR,Right,Off,Spot Ups,Right,Drive
Home,Offense,UNY,2pMa,To Basket,PNR,Left,Away,None,None,None
Home,Defense,UNY,Foul,To Basket,PNR,High,Off,None,None,None
Home,Offense,UNY,Turnover,N/A,Iso,Right,None,None,None,None
Home,Defense,UNY,2pMa,To Basket,Transition,None,Trailer,None,None,None
Home,Offense,UNY,2pMa,Drop Step,Post,Left,Dribble Move,None,None,None
Home,Defense,UNY,3pmi,No Dribble Jumper,PNR,Left,Off,Spot Ups,None,Shot
Home,Offense,UNY,Foul,To Basket,PNR,High,Off,P&R Roll Man,Right,Pop
Home,Defense,UNY,2pmi,Dribble Jumper,PNR,High,Off,None,None,None
Home,Defense,UNY,2pMa,To Basket,Cuts,None,Basket,None,None,None
Home,Offense,UNY,Foul,To Basket,PNR,Right,Off,None,None,None
Home,Defense,UNY,Turnover,N/A,PNR,High,Off,Spot Ups,Right,Drive
Home,Offense,UNY,2pmi,Dribble Jumper,Spot Ups,Left,Drive,None,None,None
Home,Offense,UNY,Foul,To Basket,PNR,High,Away,None,None,None
Home,Defense,UNY,Turnover,N/A,Hand Offs,Right,Dribble,None,None,None
Home,Offense,UNY,3pmi,No Dribble Jumper,Off Screens,Left,Straight,None,None,None
Home,Defense,UNY,3pmi,No Dribble Jumper,Hand Offs,Right,Dribble,None,None,None
Home,Defense,UNY,Foul,To Basket,Misc,None,None,None,None,None
Home,Defense,UNY,Turnover,N/A,PNR,High,Off,P&R Roll Man,Left,Pop
Home,Offense,UNY,2pMa,To Basket,Hand Offs,Top,Stationary,None,None,None
Home,Defense,UNY,Foul,To Basket,Cuts,None,Basket,None,None,None
Home,Offense,UNY,2pmi,Dribble Jumper,PNR,High,Off,None,None,None
Home,Defense,UNY,Turnover,To Basket,Off Screens,Right,Straight,None,None,None
Home,Defense,UNY,Foul,N/A,Misc,None,None,None,None,None
Home,Defense,UNY,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Home,Defense,UNY,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
